 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"353710 Pedreira";0;0;0;0;0;0;1;0;0;0;0;1
"353720 Pedro de Toledo";0;0;0;0;0;0;1;0;0;0;0;1
"353730 Penápolis";0;0;0;0;3;2;1;0;0;0;0;6
"353760 Peruíbe";0;0;0;0;2;3;4;3;2;1;0;15
"353800 Pindamonhangaba";0;0;0;0;6;2;7;4;1;0;0;20
"353860 Piracaia";0;0;0;1;1;0;0;0;0;0;0;2
"353870 Piracicaba";0;0;0;0;11;26;17;7;3;0;0;64
"353890 Pirajuí";0;0;0;0;0;0;0;0;1;0;0;1
"353900 Pirangi";0;0;0;0;1;0;1;0;0;0;0;2
"353910 Pirapora do Bom Jesus";0;0;0;0;0;1;0;0;0;0;0;1
"353920 Pirapozinho";0;0;0;0;0;0;1;0;0;0;0;1
"353930 Pirassununga";0;0;0;0;2;1;2;0;0;0;0;5
"353950 Pitangueiras";0;0;0;0;1;1;1;0;0;0;0;3
"353980 Poá";0;0;0;0;1;1;2;1;0;0;0;5
"354020 Pontal";0;0;0;0;0;0;1;1;1;0;0;3
"354040 Populina";0;0;0;0;0;0;1;0;0;0;0;1
"354060 Porto Feliz";0;0;0;0;0;2;0;0;0;0;0;2
"354070 Porto Ferreira";0;0;0;0;0;1;0;2;1;0;0;4
"354075 Potim";0;0;0;0;3;1;1;1;0;0;0;6
"354100 Praia Grande";0;0;0;2;15;20;14;14;3;1;0;69
"354130 Presidente Epitácio";0;0;0;0;1;2;2;0;0;0;0;5
"354140 Presidente Prudente";0;1;0;1;10;8;11;4;1;1;0;37
"354150 Presidente Venceslau";0;0;0;0;1;0;1;1;0;0;0;3
"354160 Promissão";0;0;0;0;0;1;1;2;2;0;0;6
"354170 Quatá";0;0;0;0;0;0;0;1;0;0;0;1
"354200 Quintana";0;0;0;0;0;1;0;0;0;0;0;1
"354220 Rancharia";0;0;0;0;0;1;0;0;0;0;0;1
"354240 Regente Feijó";0;0;0;0;0;0;0;0;1;0;0;1
"354260 Registro";0;0;0;0;0;3;3;4;1;1;1;13
"354290 Ribeirão Bonito";0;0;0;0;1;0;0;0;0;0;0;1
"354330 Ribeirão Pires";0;0;0;0;6;7;0;2;0;0;0;15
"354340 Ribeirão Preto";0;0;1;0;40;39;27;13;16;1;1;138
"354390 Rio Claro";0;0;0;0;4;4;4;5;3;0;1;21
"354410 Rio Grande da Serra";0;0;0;0;3;1;1;0;0;0;0;5
"354460 Sabino";0;0;0;0;0;2;0;0;0;0;0;2
"354490 Sales Oliveira";0;0;0;0;0;1;0;0;0;0;0;1
"354500 Salesópolis";0;0;0;0;0;0;1;0;0;0;0;1
"354520 Salto";0;0;0;1;3;4;6;1;2;0;0;17
"354530 Salto de Pirapora";0;0;0;0;1;0;0;0;0;0;0;1
"354560 Santa Adélia";0;0;0;0;2;0;0;0;0;0;0;2
"354580 Santa Bárbara d'Oeste";0;0;0;0;8;8;5;2;2;0;0;25
"354610 Santa Clara d'Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"354660 Santa Fé do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"354680 Santa Isabel";0;0;0;0;0;2;0;0;1;0;0;3
"354750 Santa Rita do Passa Quatro";0;0;0;0;0;0;1;0;0;0;0;1
"354760 Santa Rosa de Viterbo";0;0;0;0;0;1;0;0;1;1;0;3
"354730 Santana de Parnaíba";0;0;0;0;0;2;1;0;1;0;0;4
"354780 Santo André";0;0;0;0;24;31;22;12;5;1;0;95
"354800 Santo Antônio de Posse";0;0;0;0;0;0;1;0;0;0;0;1
"354805 Santo Antônio do Aracanguá";0;0;0;0;1;0;0;0;0;0;0;1
"354810 Santo Antônio do Jardim";0;0;0;0;0;1;0;0;0;0;0;1
"354830 Santo Expedito";0;0;0;0;0;1;0;0;1;0;0;2
"354850 Santos";0;1;0;5;23;19;30;21;7;1;0;107
"354870 São Bernardo do Campo";0;0;0;1;28;35;27;9;8;2;0;110
"354880 São Caetano do Sul";0;0;0;0;2;4;4;5;3;0;0;18
"354890 São Carlos";0;0;0;1;20;11;17;10;4;0;0;63
"354910 São João da Boa Vista";0;0;0;0;2;0;2;0;0;1;0;5
"354940 São Joaquim da Barra";0;0;0;0;0;3;0;0;0;0;0;3
"354960 São José do Barreiro";0;0;0;0;1;0;0;0;0;0;0;1
"354970 São José do Rio Pardo";0;0;0;0;1;1;0;2;0;0;0;4
"354980 São José do Rio Preto";0;0;0;3;31;41;37;18;8;1;1;140
"354990 São José dos Campos";0;0;0;1;25;18;32;21;3;1;0;101
"355030 São Paulo";1;1;3;32;690;675;476;223;108;29;3;2241
"355040 São Pedro";2;0;0;0;0;0;0;1;0;0;0;3
"355060 São Roque";0;0;0;0;0;2;3;2;0;0;0;7
"355070 São Sebastião";0;0;0;0;3;4;4;3;1;1;0;16
"355090 São Simão";0;0;0;0;0;0;0;1;0;0;0;1
"355100 São Vicente";0;0;0;0;10;17;10;6;4;1;0;48
"355150 Serrana";0;0;0;0;1;0;0;0;0;0;0;1
"355170 Sertãozinho";0;0;0;0;2;5;5;0;0;0;0;12
"355190 Severínia";0;0;0;0;0;1;1;0;0;0;0;2
"355210 Socorro";0;0;0;0;1;1;0;0;0;0;0;2
"355220 Sorocaba";0;0;0;3;44;40;35;16;11;1;1;151
"355240 Sumaré";0;0;0;1;9;8;8;7;1;0;0;34
"355255 Suzanápolis";0;0;0;0;0;0;0;1;0;0;0;1
"355250 Suzano";0;0;0;0;9;5;7;3;1;0;0;25
"355260 Tabapuã";0;0;0;0;0;1;0;0;0;0;0;1
"355270 Tabatinga";0;0;0;0;0;1;0;0;0;0;0;1
"355280 Taboão da Serra";0;0;0;1;14;5;6;2;2;1;0;31
"355330 Tambaú";0;0;0;0;0;0;1;0;0;0;0;1
"355340 Tanabi";0;0;0;0;2;2;0;0;0;0;0;4
"355370 Taquaritinga";0;0;0;0;0;0;3;1;1;0;0;5
"355380 Taquarituba";0;0;0;0;1;0;1;0;0;0;0;2
"355385 Taquarivaí";0;0;0;0;1;0;0;0;0;0;0;1
"355400 Tatuí";0;0;0;0;3;10;5;3;2;0;1;24
"355410 Taubaté";0;0;0;1;9;7;9;6;3;0;1;36
"355450 Tietê";0;0;0;0;0;1;0;0;0;0;0;1
"355470 Torrinha";0;0;0;0;0;0;0;0;1;0;0;1
"355480 Tremembé";0;0;0;0;1;3;0;0;0;0;0;4
"355490 Três Fronteiras";0;0;0;0;0;0;0;1;0;0;0;1
"355500 Tupã";0;0;0;0;3;2;1;0;3;0;0;9
"355510 Tupi Paulista";0;0;0;1;0;4;0;0;0;0;0;5
"355535 Ubarana";0;0;0;0;0;0;0;1;0;0;0;1
"355540 Ubatuba";0;0;0;0;2;4;3;1;0;1;0;11
"355610 Valentim Gentil";0;0;0;0;0;0;0;1;0;0;0;1
"355620 Valinhos";0;0;0;3;3;3;3;3;0;0;0;15
"355630 Valparaíso";0;0;0;0;0;2;0;0;0;0;0;2
"355640 Vargem Grande do Sul";0;0;0;1;1;1;1;0;0;0;0;4
"355645 Vargem Grande Paulista";0;0;0;0;0;2;0;1;0;0;0;3
"355650 Várzea Paulista";0;0;0;0;2;2;2;3;0;0;0;9
"355670 Vinhedo";0;0;0;0;3;0;2;0;1;0;0;6
"355680 Viradouro";0;1;0;0;0;0;1;0;0;0;0;2
"355700 Votorantim";0;0;0;3;4;7;4;5;0;2;0;25
"355710 Votuporanga";0;0;0;0;5;5;4;1;1;0;0;16
"Total";8;7;8;98;1707;1855;1397;792;361;64;12;6309
