 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"351820 Guararapes";0;0;0;0;0;2;0;0;1;0;0;0;3
"351830 Guararema";0;0;0;0;1;2;0;1;0;0;0;0;4
"351840 Guaratinguetá";0;1;0;0;0;2;2;0;0;0;0;0;5
"351850 Guareí";0;0;0;0;0;0;0;1;0;0;0;0;1
"351870 Guarujá";0;0;0;0;0;10;11;11;6;3;0;0;41
"351880 Guarulhos";0;1;0;0;3;64;54;35;21;3;0;1;182
"351885 Guatapará";0;0;0;0;0;0;0;0;0;1;0;0;1
"351907 Hortolândia";0;0;0;0;1;8;7;5;5;3;1;0;30
"351930 Ibaté";0;0;0;0;0;0;0;0;0;0;1;0;1
"351960 Ibitinga";0;0;0;0;0;0;0;1;2;1;0;0;4
"351970 Ibiúna";0;0;0;0;0;1;1;0;1;0;0;0;3
"352000 Igaraçu do Tietê";0;0;0;0;0;1;0;2;0;1;1;0;5
"352010 Igarapava";0;0;0;0;0;0;0;1;1;0;0;0;2
"352020 Igaratá";0;0;0;0;0;0;0;0;0;1;0;0;1
"352042 Ilha Comprida";0;0;0;0;0;0;0;0;1;0;0;0;1
"352044 Ilha Solteira";0;0;0;0;0;0;1;1;1;0;0;0;3
"352040 Ilhabela";0;0;0;0;0;0;1;2;1;0;0;0;4
"352050 Indaiatuba";0;0;0;0;0;8;8;8;6;0;0;1;31
"352090 Ipaussu";0;0;0;0;0;0;0;1;0;0;0;0;1
"352100 Iperó";0;0;0;0;0;0;1;0;0;0;0;0;1
"352110 Ipeúna";0;0;0;0;0;0;0;0;1;0;0;0;1
"352115 Ipiguá";0;1;0;0;0;0;0;0;0;0;0;0;1
"352130 Ipuã";0;0;0;0;0;0;1;0;0;0;0;0;1
"352140 Iracemápolis";0;0;0;0;0;0;2;0;0;0;0;0;2
"352160 Irapuru";0;0;0;0;0;1;0;0;0;0;1;0;2
"352170 Itaberá";0;0;0;0;0;1;0;1;0;0;0;0;2
"352180 Itaí";0;0;0;0;0;0;1;0;0;0;0;0;1
"352190 Itajobi";0;0;0;0;0;0;1;0;0;0;0;0;1
"352200 Itaju";0;0;0;0;0;1;0;0;0;0;0;0;1
"352210 Itanhaém";0;0;0;0;0;3;6;3;3;0;0;0;15
"352220 Itapecerica da Serra";1;0;0;0;0;3;2;2;1;2;0;0;11
"352230 Itapetininga";0;0;0;0;0;5;4;4;2;1;0;1;17
"352240 Itapeva";0;0;0;0;1;1;2;0;2;1;0;0;7
"352250 Itapevi";0;0;0;0;1;5;12;5;4;1;0;0;28
"352260 Itapira";0;1;0;0;0;2;1;0;1;1;0;0;6
"352270 Itápolis";0;0;0;0;0;1;3;0;0;1;0;0;5
"352290 Itapuí";0;0;0;0;0;0;0;0;1;0;0;0;1
"352300 Itapura";0;0;0;0;0;0;0;1;0;0;0;0;1
"352310 Itaquaquecetuba";1;0;0;0;2;10;7;5;6;0;0;0;31
"352320 Itararé";0;0;0;0;0;1;0;0;1;0;0;0;2
"352340 Itatiba";0;0;0;0;0;2;3;3;0;1;0;0;9
"352350 Itatinga";0;0;0;0;0;0;1;0;1;0;0;0;2
"352360 Itirapina";0;0;0;0;0;0;1;2;0;1;0;0;4
"352390 Itu";0;0;0;0;1;6;4;3;4;1;0;0;19
"352400 Itupeva";0;0;0;0;0;0;0;0;1;0;0;0;1
"352410 Ituverava";0;0;0;0;0;0;3;1;1;2;1;0;8
"352430 Jaboticabal";0;0;0;0;1;0;1;3;2;0;0;0;7
"352440 Jacareí";0;0;0;0;0;7;2;2;7;2;0;0;20
"352450 Jaci";0;0;0;0;0;0;0;0;1;0;0;0;1
"352470 Jaguariúna";0;0;0;0;0;0;0;0;0;1;1;0;2
"352480 Jales";0;0;0;0;0;0;3;1;0;1;0;0;5
"352500 Jandira";0;0;0;0;0;3;3;3;1;1;0;1;12
"352510 Jardinópolis";0;0;0;0;0;0;1;0;1;0;0;0;2
"352520 Jarinu";0;0;0;0;0;1;0;0;2;0;1;0;4
"352530 Jaú";0;0;0;0;1;1;5;8;5;0;2;0;22
"352570 José Bonifácio";0;0;0;0;0;0;0;2;0;0;0;0;2
"352580 Júlio Mesquita";0;0;0;0;0;0;0;0;1;0;0;0;1
"352590 Jundiaí";0;0;0;0;0;17;21;13;5;1;1;0;58
