 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio de Janeiro
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"330520 São Pedro da Aldeia";0;0;0;0;1;5;1;4;4;0;0;0;0;15
"330540 Sapucaia";0;0;0;0;0;0;2;1;1;0;0;0;0;4
"330550 Saquarema";1;0;0;0;0;4;3;4;6;0;1;0;0;19
"330555 Seropédica";0;0;0;0;0;7;4;5;1;1;0;0;0;18
"330560 Silva Jardim";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"330570 Sumidouro";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"330575 Tanguá";0;0;0;0;1;1;2;0;0;0;0;0;0;4
"330580 Teresópolis";0;0;0;0;0;4;5;6;5;1;0;2;0;23
"330600 Três Rios";0;0;0;0;0;5;8;6;2;1;0;1;0;23
"330610 Valença";0;0;0;0;0;3;1;4;1;0;0;0;0;9
"330620 Vassouras";0;0;0;0;0;1;2;2;2;1;1;0;0;9
"330630 Volta Redonda";0;1;0;0;3;16;17;22;8;1;2;0;0;70
"330000 Município ignorado - RJ";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Total";16;25;10;8;68;1060;1131;953;550;196;40;14;1;4072
