 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2015
"Município (Res)";"Masculino";"Feminino";"Total"
"355310 Taiaçu";0;1;1
"355320 Taiúva";3;0;3
"355330 Tambaú";1;0;1
"355340 Tanabi";1;0;1
"355365 Taquaral";1;0;1
"355370 Taquaritinga";8;4;12
"355380 Taquarituba";3;1;4
"355390 Tarabai";2;0;2
"355400 Tatuí";21;4;25
"355410 Taubaté";37;12;49
"355430 Teodoro Sampaio";2;3;5
"355450 Tietê";1;0;1
"355470 Torrinha";1;0;1
"355480 Tremembé";6;6;12
"355500 Tupã";12;2;14
"355510 Tupi Paulista";5;1;6
"355540 Ubatuba";11;4;15
"355620 Valinhos";10;4;14
"355630 Valparaíso";1;1;2
"355640 Vargem Grande do Sul";3;0;3
"355645 Vargem Grande Paulista";1;1;2
"355650 Várzea Paulista";5;1;6
"355660 Vera Cruz";1;1;2
"355670 Vinhedo";1;1;2
"355680 Viradouro";2;0;2
"355700 Votorantim";11;6;17
"355710 Votuporanga";12;5;17
"350000 Município ignorado - SP";2;1;3
"Total";5331;1882;7213
