 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"292230 Muritiba";0;0;0;0;0;0;0;0;0;1;0;0;1
"292250 Nazaré";0;0;0;0;0;2;3;0;1;0;0;0;6
"292275 Nova Ibiá";0;0;0;0;0;1;1;0;0;0;0;0;2
"292280 Nova Itarana";0;0;0;0;0;1;0;1;0;0;0;0;2
"292290 Nova Soure";0;0;0;0;0;1;0;0;0;0;0;0;1
"292300 Nova Viçosa";0;0;0;0;0;1;1;4;0;0;0;0;6
"292305 Novo Triunfo";0;0;0;0;0;0;1;0;0;0;0;0;1
"292310 Olindina";1;0;0;0;0;0;0;0;1;0;0;0;2
"292380 Paripiranga";0;0;0;0;0;0;1;0;0;0;0;0;1
"292400 Paulo Afonso";0;0;0;0;1;3;4;2;2;1;0;0;13
"292430 Piatã";0;0;0;0;0;0;1;0;0;0;0;0;1
"292520 Pojuca";0;0;0;0;0;0;3;0;0;0;0;0;3
"292530 Porto Seguro";0;1;0;1;1;5;14;12;8;3;0;0;45
"292560 Presidente Dutra";0;0;0;0;0;0;1;0;0;0;0;0;1
"292575 Presidente Tancredo Neves";0;0;0;0;0;0;2;0;0;0;0;0;2
"292595 Rafael Jambeiro";0;0;0;0;0;1;0;0;0;2;0;0;3
"292600 Remanso";0;0;0;0;0;0;0;1;0;1;0;0;2
"292630 Riachão do Jacuípe";0;0;0;0;0;0;0;0;1;0;0;0;1
"292660 Ribeira do Pombal";0;0;0;0;0;0;1;0;0;1;0;0;2
"292700 Rio Real";2;0;0;0;0;0;2;0;0;0;0;0;4
"292710 Rodelas";0;0;0;0;0;0;2;0;0;0;0;0;2
"292730 Salinas da Margarida";0;0;0;0;0;1;0;0;0;0;0;0;1
"292740 Salvador";6;5;1;0;19;213;265;200;103;48;5;2;867
"292770 Santa Cruz Cabrália";0;0;0;1;0;0;1;0;1;0;0;0;3
"292790 Santa Inês";0;0;0;0;0;0;0;2;0;0;0;0;2
"292810 Santa Maria da Vitória";0;0;0;0;0;1;0;0;0;0;0;0;1
"292840 Santa Rita de Cássia";0;0;0;0;0;0;0;1;0;0;0;0;1
"292800 Santaluz";0;0;0;0;0;0;2;0;0;0;0;0;2
"292820 Santana";0;0;0;0;0;0;1;0;0;0;0;0;1
"292860 Santo Amaro";0;0;0;0;0;0;3;1;0;0;0;0;4
"292870 Santo Antônio de Jesus";0;0;0;0;2;10;7;8;1;1;0;0;29
"292880 Santo Estêvão";0;0;0;0;0;0;1;1;0;0;0;0;2
"292900 São Félix";0;0;0;0;0;0;0;1;0;0;0;0;1
"292920 São Francisco do Conde";0;0;0;0;1;0;2;2;1;0;0;0;6
"292925 São Gabriel";0;0;0;0;0;0;0;0;1;0;0;0;1
"292930 São Gonçalo dos Campos";0;0;0;0;0;0;0;1;1;0;0;0;2
"292937 São José do Jacuípe";0;0;0;0;0;1;0;0;0;0;0;0;1
"292990 Seabra";0;0;0;0;0;0;0;1;0;0;0;0;1
"293010 Senhor do Bonfim";0;0;0;0;0;3;4;2;2;1;0;0;12
"293020 Sento Sé";0;0;0;0;1;0;0;0;0;1;0;0;2
"293050 Serrinha";0;0;0;0;0;1;2;3;0;1;0;0;7
"293070 Simões Filho";0;0;0;0;0;4;3;3;3;0;0;0;13
"293075 Sítio do Mato";0;0;0;0;0;1;1;0;0;0;0;0;2
"293110 Tanquinho";0;0;0;0;0;0;0;1;0;0;0;0;1
"293120 Taperoá";0;0;0;0;0;0;0;1;0;0;0;0;1
"293135 Teixeira de Freitas";2;1;0;0;2;6;23;13;9;1;0;1;58
"293150 Teofilândia";0;0;0;0;0;0;0;0;1;0;0;0;1
"293160 Teolândia";0;0;0;0;0;0;1;0;0;0;0;0;1
"293190 Tucano";0;0;0;0;0;1;0;0;0;1;0;0;2
"293200 Uauá";0;0;0;0;0;0;0;0;0;1;0;0;1
"293240 Uibaí";0;0;0;0;0;0;0;1;0;0;0;0;1
"293250 Una";0;0;0;0;0;0;0;2;1;2;0;0;5
"293290 Valença";0;0;1;0;1;2;5;3;1;1;0;0;14
"293320 Vera Cruz";0;0;0;0;0;2;1;1;0;0;0;0;4
"293330 Vitória da Conquista";0;1;1;0;1;13;24;15;10;3;0;1;69
"293360 Xique-Xique";0;0;0;0;0;0;0;1;0;0;0;0;1
"290000 Município ignorado - BA";0;0;0;0;0;0;1;0;0;0;0;0;1
"Total";16;15;3;3;48;418;607;439;250;97;9;6;1911
