 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"313940 Manhuaçu";0;0;0;0;0;3;3;2;4;2;0;0;14
"313950 Manhumirim";0;0;0;0;0;0;0;1;0;0;0;0;1
"313960 Mantena";0;0;0;0;0;0;0;1;0;0;0;0;1
"314000 Mariana";0;0;0;0;0;1;1;1;0;0;0;0;3
"314015 Mário Campos";0;0;0;0;0;1;0;0;0;0;0;0;1
"314070 Mateus Leme";0;0;0;0;0;0;3;1;2;0;0;0;6
"314080 Matias Barbosa";0;0;0;0;0;1;0;0;0;0;0;0;1
"314085 Matias Cardoso";0;0;0;0;0;0;1;0;0;0;0;0;1
"314110 Matozinhos";0;0;0;0;0;0;1;0;0;0;0;0;1
"314120 Matutina";0;0;0;0;0;0;0;0;1;0;0;0;1
"314150 Mendes Pimentel";0;0;0;0;0;0;0;1;0;0;0;0;1
"314180 Minas Novas";0;0;0;0;0;0;0;0;0;1;0;0;1
"314260 Monsenhor Paulo";0;0;0;0;0;0;1;0;0;0;0;0;1
"314290 Monte Azul";0;0;0;0;0;0;0;0;1;0;0;0;1
"314300 Monte Belo";0;0;0;0;0;0;1;0;0;0;0;0;1
"314310 Monte Carmelo";0;0;0;0;0;0;2;1;0;0;0;0;3
"314315 Monte Formoso";0;0;0;0;0;0;0;1;0;0;0;0;1
"314330 Montes Claros";0;0;0;0;2;28;33;12;10;2;0;1;88
"314350 Morada Nova de Minas";0;0;0;0;0;0;0;0;1;0;0;0;1
"314390 Muriaé";0;0;0;0;3;10;7;12;5;2;1;0;40
"314400 Mutum";0;0;0;0;0;0;0;0;1;0;0;0;1
"314435 Naque";0;0;0;0;0;0;0;1;1;0;0;0;2
"314440 Natércia";0;0;0;0;0;0;1;0;0;0;0;0;1
"314467 Nova Belém";0;0;0;0;0;0;0;0;0;1;0;0;1
"314470 Nova Era";0;0;0;0;0;0;2;0;0;0;0;0;2
"314480 Nova Lima";0;0;0;0;1;3;2;2;0;0;0;0;8
"314505 Nova Porteirinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"314520 Nova Serrana";0;0;0;0;0;0;2;1;0;0;0;0;3
"314535 Novo Oriente de Minas";0;0;0;0;0;0;1;0;0;0;0;0;1
"314537 Novorizonte";0;0;0;0;0;0;0;1;0;0;0;0;1
"314590 Ouro Branco";0;0;0;0;0;0;0;0;0;1;0;0;1
"314600 Ouro Fino";0;0;0;0;0;1;0;0;0;0;0;0;1
"314610 Ouro Preto";0;0;0;0;0;2;5;3;1;2;0;0;13
"314630 Padre Paraíso";0;0;0;0;0;0;2;0;0;0;0;0;2
"314710 Pará de Minas";0;0;0;0;0;1;2;2;1;0;0;0;6
"314700 Paracatu";0;0;0;0;1;1;2;1;4;1;0;0;10
"314720 Paraguaçu";0;0;0;0;0;0;0;0;1;0;0;0;1
"314740 Paraopeba";0;0;0;0;0;0;2;1;0;0;0;0;3
