 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"354910 São João da Boa Vista";5;4;0;9
"354940 São Joaquim da Barra";0;1;0;1
"354950 São José da Bela Vista";1;0;0;1
"354970 São José do Rio Pardo";3;3;0;6
"354980 São José do Rio Preto";88;20;0;108
"354990 São José dos Campos";77;26;0;103
"355010 São Manuel";3;0;0;3
"355030 São Paulo";1754;415;0;2169
"355040 São Pedro";1;2;0;3
"355060 São Roque";7;5;0;12
"355070 São Sebastião";9;12;0;21
"355090 São Simão";1;0;0;1
"355100 São Vicente";52;17;0;69
"355120 Sarutaiá";0;1;0;1
"355140 Serra Azul";2;0;0;2
"355160 Serra Negra";0;1;0;1
"355150 Serrana";2;0;0;2
"355170 Sertãozinho";17;2;0;19
"355180 Sete Barras";0;1;0;1
"355190 Severínia";2;0;0;2
"355210 Socorro";1;0;0;1
"355220 Sorocaba";84;41;0;125
"355240 Sumaré";21;11;0;32
"355250 Suzano";16;5;0;21
"355280 Taboão da Serra";26;8;0;34
"355320 Taiúva";1;0;0;1
"355340 Tanabi";1;0;0;1
"355370 Taquaritinga";3;4;0;7
"355380 Taquarituba";2;0;0;2
"355390 Tarabai";2;0;0;2
"355400 Tatuí";8;5;0;13
"355410 Taubaté";34;10;0;44
"355450 Tietê";2;1;0;3
"355480 Tremembé";1;1;0;2
"355500 Tupã";6;1;0;7
"355510 Tupi Paulista";2;1;0;3
"355540 Ubatuba";8;0;0;8
"355560 Uchoa";0;1;0;1
"355620 Valinhos";11;2;0;13
"355630 Valparaíso";0;1;0;1
"355635 Vargem";5;0;0;5
"355640 Vargem Grande do Sul";4;0;0;4
"355645 Vargem Grande Paulista";1;2;0;3
"355650 Várzea Paulista";5;4;0;9
"355670 Vinhedo";7;1;0;8
"355680 Viradouro";2;0;0;2
"355700 Votorantim";18;8;0;26
"355710 Votuporanga";7;1;0;8
"350000 Município ignorado - SP";1;0;0;1
"Total";4708;1441;2;6151
