 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"353130 Monte Alto";0;1;0;0;3;0;1;1;0;6
"353140 Monte Aprazível";0;0;0;2;0;0;0;0;0;2
"353150 Monte Azul Paulista";0;0;0;0;0;0;1;0;0;1
"353250 Neves Paulista";0;0;0;0;0;0;1;0;0;1
"353260 Nhandeara";0;0;0;0;1;0;1;0;0;2
"353280 Nova Aliança";0;0;0;0;0;0;1;0;0;1
"353320 Nova Independência";0;0;0;0;0;0;1;0;0;1
"353340 Nova Odessa";0;1;0;0;0;0;2;0;0;3
"353350 Novo Horizonte";0;1;0;0;1;0;0;0;0;2
"353370 Ocauçu";0;0;0;0;0;0;1;0;0;1
"353390 Olímpia";1;2;0;1;0;1;1;0;1;7
"353410 Oriente";0;0;0;1;0;0;0;0;0;1
"353440 Osasco";1;4;2;11;6;9;24;5;9;71
"353460 Osvaldo Cruz";0;0;0;0;1;0;0;1;0;2
"353470 Ourinhos";0;1;1;2;2;2;4;1;0;13
"353480 Ouro Verde";1;0;0;0;0;0;0;0;0;1
"353475 Ouroeste";0;0;0;0;0;0;1;0;0;1
"353490 Pacaembu";0;0;0;1;0;0;0;0;0;1
"353510 Palmares Paulista";0;0;0;0;1;0;1;0;0;2
"353550 Paraguaçu Paulista";0;0;0;0;0;0;1;0;0;1
"353570 Paraíso";0;1;0;0;0;0;0;0;0;1
"353620 Pariquera-Açu";0;1;0;0;0;0;2;0;0;3
"353650 Paulínia";0;0;0;0;0;3;5;1;2;11
"353670 Pederneiras";0;0;0;1;0;1;0;0;0;2
"353710 Pedreira";0;0;0;1;0;0;1;0;0;2
"353730 Penápolis";0;1;0;0;0;0;0;0;2;3
"353740 Pereira Barreto";0;0;0;0;0;0;0;0;1;1
"353760 Peruíbe";0;1;0;0;1;0;2;1;1;6
"353770 Piacatu";0;0;0;0;0;0;1;0;0;1
"353780 Piedade";0;0;0;0;1;0;0;0;0;1
"353790 Pilar do Sul";0;1;0;0;0;0;0;0;0;1
"353800 Pindamonhangaba";0;0;1;2;1;1;5;2;4;16
"353860 Piracaia";0;0;1;0;0;0;0;0;0;1
"353870 Piracicaba";0;9;2;16;7;3;11;2;4;54
"353920 Pirapozinho";0;0;0;0;0;0;0;0;1;1
"353930 Pirassununga";1;0;0;0;2;2;3;0;0;8
"353940 Piratininga";0;0;0;0;0;0;1;0;0;1
"353950 Pitangueiras";0;0;0;1;0;0;0;0;0;1
"353980 Poá";0;1;0;2;0;0;1;0;1;5
"354020 Pontal";0;0;1;0;1;0;0;0;0;2
"354060 Porto Feliz";0;1;0;1;1;0;0;0;1;4
"354070 Porto Ferreira";0;0;0;1;0;1;0;0;1;3
"354075 Potim";0;0;0;2;0;0;1;0;0;3
"354080 Potirendaba";0;1;0;0;0;1;0;0;0;2
"354100 Praia Grande";0;0;4;4;3;6;20;1;4;42
"354120 Presidente Bernardes";0;0;0;0;0;0;1;0;0;1
"354130 Presidente Epitácio";1;2;0;1;0;1;1;0;0;6
"354140 Presidente Prudente";1;2;1;10;2;6;9;2;16;49
"354150 Presidente Venceslau";0;1;0;1;0;0;0;0;0;2
"354160 Promissão";0;1;0;0;0;0;0;1;0;2
"354170 Quatá";0;0;0;0;0;0;1;0;0;1
"354190 Queluz";0;0;0;0;0;0;1;0;0;1
"354220 Rancharia";0;0;0;0;1;2;1;0;1;5
"354240 Regente Feijó";0;0;0;0;0;0;0;0;1;1
