 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"312970 Ibiraci";0;0;0;0;0;1;0;1;1;0;1;0;0;4
"312980 Ibirité";0;0;0;0;0;7;7;6;4;1;1;0;0;26
"313010 Igarapé";1;0;0;0;0;0;1;1;2;0;0;0;0;5
"313020 Igaratinga";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"313050 Ilicínea";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"313070 Indianópolis";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"313100 Inhaúma";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"313120 Ipanema";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"313130 Ipatinga";1;0;0;1;0;11;11;15;8;2;0;0;0;49
"313150 Ipuiúna";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"313170 Itabira";0;0;0;0;0;2;3;5;2;2;0;0;0;14
"313180 Itabirinha";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"313190 Itabirito";0;0;0;0;0;1;2;1;2;2;0;0;0;8
"313220 Itaguara";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"313230 Itaipé";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"313240 Itajubá";0;0;0;1;0;0;1;2;0;1;0;0;0;5
"313270 Itambacuri";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"313330 Itaobim";0;0;0;0;0;1;2;1;2;1;0;0;0;7
"313380 Itaúna";0;0;0;0;1;0;1;2;0;0;0;0;0;4
"313410 Itueta";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"313420 Ituiutaba";0;0;0;0;0;3;9;4;2;1;0;0;0;19
"313440 Iturama";0;0;0;0;0;1;1;0;1;0;0;0;0;3
"313460 Jaboticatubas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"313470 Jacinto";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"313490 Jacutinga";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"313510 Janaúba";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"313520 Januária";0;0;0;0;0;0;0;2;1;0;0;0;0;3
"313570 Jequitibá";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"313580 Jequitinhonha";0;0;0;0;0;0;1;1;1;0;0;0;0;3
"313620 João Monlevade";0;0;0;0;0;1;2;4;1;1;0;0;0;9
"313640 Joaquim Felício";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"313665 Juatuba";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"313670 Juiz de Fora";1;0;0;0;1;44;51;43;18;10;4;1;0;173
"313720 Lagoa da Prata";0;0;0;0;0;1;0;0;3;1;0;0;0;5
"313750 Lagoa Formosa";0;0;0;0;0;0;0;0;1;1;0;0;0;2
"313760 Lagoa Santa";0;0;0;0;0;0;2;1;1;0;0;0;0;4
"313820 Lavras";0;0;0;0;0;2;3;1;1;0;1;0;0;8
"313840 Leopoldina";0;0;0;0;0;0;1;0;1;0;0;0;0;2
"313860 Lima Duarte";0;0;0;0;0;0;1;0;1;0;0;0;0;2
"313862 Limeira do Oeste";0;0;0;0;0;0;0;2;0;0;0;0;0;2
"313880 Luz";0;0;0;0;0;0;0;2;0;0;0;0;0;2
"313940 Manhuaçu";0;0;0;0;0;3;6;4;1;1;0;0;0;15
"313950 Manhumirim";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"313960 Mantena";0;0;0;0;0;0;0;1;0;1;0;0;0;2
"313980 Mar de Espanha";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314000 Mariana";0;0;0;0;1;0;2;1;0;0;0;0;0;4
"314015 Mário Campos";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314050 Martinho Campos";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314080 Matias Barbosa";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"314110 Matozinhos";0;0;0;0;0;2;0;0;0;1;0;0;0;3
"314140 Medina";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314170 Mesquita";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314210 Miradouro";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314240 Moema";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314280 Monte Alegre de Minas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314290 Monte Azul";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314300 Monte Belo";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"314310 Monte Carmelo";0;0;0;0;0;0;0;2;0;0;0;0;0;2
"314315 Monte Formoso";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"314320 Monte Santo de Minas";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"314330 Montes Claros";0;2;0;0;0;12;16;5;3;2;1;0;0;41
"314350 Morada Nova de Minas";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314390 Muriaé";0;0;0;0;0;9;8;6;7;3;2;0;0;35
"314430 Nanuque";0;0;0;0;0;0;1;1;2;0;0;0;0;4
"314460 Nepomuceno";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"314470 Nova Era";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"314480 Nova Lima";0;0;0;0;0;3;9;2;1;0;0;0;0;15
"314505 Nova Porteirinha";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314520 Nova Serrana";0;0;0;0;1;0;5;2;0;0;0;0;0;8
"313660 Nova União";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"314560 Oliveira";0;0;0;0;0;3;1;0;1;0;0;0;0;5
"314590 Ouro Branco";0;0;0;0;0;2;0;0;0;0;0;0;0;2
"314600 Ouro Fino";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"314610 Ouro Preto";0;1;0;0;0;2;1;2;1;2;0;0;0;9
