regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORDESTE,BA,353650.0,Paulínia,2021,6.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353670.0,Pederneiras,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353700.0,Pedregulho,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353720.0,Pedro de Toledo,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353730.0,Penápolis,2021,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353740.0,Pereira Barreto,2021,0.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353760.0,Peruíbe,2021,3.0,1.0,0.0,5.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353780.0,Piedade,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353800.0,Pindamonhangaba,2021,6.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353820.0,Pinhalzinho,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353870.0,Piracicaba,2021,35.0,12.0,0.0,14.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353890.0,Pirajuí,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353900.0,Pirangi,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353920.0,Pirapozinho,2021,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353930.0,Pirassununga,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353950.0,Pitangueiras,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353980.0,Poá,2021,6.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354020.0,Pontal,2021,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354060.0,Porto Feliz,2021,6.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354070.0,Porto Ferreira,2021,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354075.0,Potim,2021,6.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354100.0,Praia Grande,2021,22.0,6.0,0.0,20.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354105.0,Pratânia,2021,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354120.0,Presidente Bernardes,2021,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354130.0,Presidente Epitácio,2021,5.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354140.0,Presidente Prudente,2021,36.0,6.0,1.0,11.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354150.0,Presidente Venceslau,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354160.0,Promissão,2021,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354170.0,Quatá,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354230.0,Redenção da Serra,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354260.0,Registro,2021,8.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354290.0,Ribeirão Bonito,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354300.0,Ribeirão Branco,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354310.0,Ribeirão Corrente,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354330.0,Ribeirão Pires,2021,6.0,2.0,0.0,8.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,354340.0,Ribeirão Preto,2021,85.0,9.0,3.0,17.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354390.0,Rio Claro,2021,13.0,2.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354410.0,Rio Grande da Serra,2021,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354420.0,Riolândia,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354425.0,Rosana,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354460.0,Sabino,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354510.0,Salmourão,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354520.0,Salto,2021,11.0,2.0,1.0,5.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,354540.0,Salto Grande,2021,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354580.0,Santa Bárbara d'Oeste,2021,18.0,3.0,0.0,4.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354600.0,Santa Branca,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354630.0,Santa Cruz das Palmeiras,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354640.0,Santa Cruz do Rio Pardo,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354660.0,Santa Fé do Sul,2021,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354680.0,Santa Isabel,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354740.0,Santa Rita d'Oeste,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354730.0,Santana de Parnaíba,2021,2.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354770.0,Santo Anastácio,2021,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354780.0,Santo André,2021,64.0,16.0,0.0,48.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354850.0,Santos,2021,55.0,10.0,0.0,32.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354870.0,São Bernardo do Campo,2021,72.0,18.0,2.0,65.0,0.0,2.0,,,,,,,,,,,0.0
NORDESTE,BA,354880.0,São Caetano do Sul,2021,24.0,1.0,0.0,4.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354890.0,São Carlos,2021,25.0,1.0,0.0,6.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,354910.0,São João da Boa Vista,2021,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354940.0,São Joaquim da Barra,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354950.0,São José da Bela Vista,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354970.0,São José do Rio Pardo,2021,4.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354980.0,São José do Rio Preto,2021,85.0,6.0,2.0,19.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,354990.0,São José dos Campos,2021,61.0,5.0,0.0,18.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,354995.0,São Lourenço da Serra,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
