 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"354075 Potim";0;0;0;0;0;0;2;0;0;2
"354080 Potirendaba";0;0;0;0;0;0;0;0;1;1
"354085 Pracinha";0;0;0;0;0;1;0;0;0;1
"354090 Pradópolis";0;0;0;0;0;1;0;0;0;1
"354100 Praia Grande";0;2;3;7;6;5;13;4;4;44
"354120 Presidente Bernardes";0;0;0;0;0;0;1;0;0;1
"354140 Presidente Prudente";0;4;1;1;0;6;12;2;4;30
"354180 Queiroz";0;0;0;0;0;1;0;0;0;1
"354210 Rafard";0;0;0;1;0;0;0;0;0;1
"354260 Registro";0;0;0;0;0;0;2;0;1;3
"354330 Ribeirão Pires";0;0;0;0;0;1;0;0;0;1
"354340 Ribeirão Preto";4;4;1;16;10;13;14;1;7;70
"354380 Rinópolis";0;1;0;0;0;0;0;0;0;1
"354390 Rio Claro";0;2;3;2;1;0;3;0;3;14
"354520 Salto";0;1;0;0;2;1;4;1;1;10
"354580 Santa Bárbara d'Oeste";4;1;2;3;0;3;4;1;1;19
"354610 Santa Clara d'Oeste";0;0;0;0;0;0;1;0;0;1
"354630 Santa Cruz das Palmeiras";0;0;0;0;0;0;0;1;0;1
"354640 Santa Cruz do Rio Pardo";1;0;1;1;0;0;0;0;1;4
"354660 Santa Fé do Sul";0;0;0;0;0;0;1;0;0;1
"354670 Santa Gertrudes";0;0;0;1;0;0;0;0;0;1
"354690 Santa Lúcia";0;0;0;1;0;0;0;0;0;1
"354730 Santana de Parnaíba";0;0;0;1;0;0;0;0;0;1
"354770 Santo Anastácio";0;0;0;0;0;0;1;0;0;1
"354780 Santo André";1;1;0;2;3;2;17;2;8;36
"354830 Santo Expedito";0;0;0;0;0;0;1;0;0;1
"354850 Santos";0;1;0;5;0;6;16;1;9;38
"354870 São Bernardo do Campo";3;0;0;2;7;4;17;4;12;49
